2022-10-27 17:46:36,183 INFO    MainThread:609008 [wandb_setup.py:_flush():68] Configure stats pid to 609008
2022-10-27 17:46:36,184 INFO    MainThread:609008 [wandb_setup.py:_flush():68] Loading settings from /home/magenta1223/.config/wandb/settings
2022-10-27 17:46:36,184 INFO    MainThread:609008 [wandb_setup.py:_flush():68] Loading settings from /home/magenta1223/skill-based/SiMPL/proposed/rl/wandb/settings
2022-10-27 17:46:36,184 INFO    MainThread:609008 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-27 17:46:36,184 INFO    MainThread:609008 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'hrl_gcspirl.py', 'program': 'hrl_gcspirl.py'}
2022-10-27 17:46:36,184 INFO    MainThread:609008 [wandb_init.py:_log_setup():476] Logging user logs to /home/magenta1223/skill-based/SiMPL/proposed/rl/wandb/run-20221027_174636-1mb79n0d/logs/debug.log
2022-10-27 17:46:36,184 INFO    MainThread:609008 [wandb_init.py:_log_setup():477] Logging internal logs to /home/magenta1223/skill-based/SiMPL/proposed/rl/wandb/run-20221027_174636-1mb79n0d/logs/debug-internal.log
2022-10-27 17:46:36,185 INFO    MainThread:609008 [wandb_init.py:init():516] calling init triggers
2022-10-27 17:46:36,185 INFO    MainThread:609008 [wandb_init.py:init():520] wandb.init called with sweep_config: {}
config: {}
2022-10-27 17:46:36,186 INFO    MainThread:609008 [wandb_init.py:init():569] starting backend
2022-10-27 17:46:36,186 INFO    MainThread:609008 [wandb_init.py:init():573] setting up manager
2022-10-27 17:46:36,189 INFO    MainThread:609008 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-27 17:46:36,191 INFO    MainThread:609008 [wandb_init.py:init():580] backend started and connected
2022-10-27 17:46:36,193 INFO    MainThread:609008 [wandb_init.py:init():658] updated telemetry
2022-10-27 17:46:36,194 INFO    MainThread:609008 [wandb_init.py:init():694] communicating run to backend with 60 second timeout
2022-10-27 17:46:47,779 INFO    MainThread:609008 [wandb_run.py:_on_init():2000] communicating current version
2022-10-27 17:46:47,840 INFO    MainThread:609008 [wandb_run.py:_on_init():2004] got version response 
2022-10-27 17:46:47,840 INFO    MainThread:609008 [wandb_init.py:init():728] starting run threads in backend
2022-10-27 17:46:50,689 INFO    MainThread:609008 [wandb_run.py:_console_start():1980] atexit reg
2022-10-27 17:46:50,689 INFO    MainThread:609008 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-27 17:46:50,689 INFO    MainThread:609008 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-27 17:46:50,689 INFO    MainThread:609008 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-27 17:46:50,689 INFO    MainThread:609008 [wandb_init.py:init():765] run started, returning control to user process
